Customer ID,Customer Name,Customer Email,Total Purchase Amount
2542,Mario Sanders,flynnmonica@example.org,8899.31
5103,Joseph Cannon,jennifer20@example.net,1113.33
9449,Jessica Lee,meyercrystal@example.com,6203.49
1081,Christopher Yu,ohaney@example.org,7430.83
2675,Ernest Nguyen,jesus00@example.net,2533.76
5498,Rachel Oliver,colleen09@example.org,8383.02
8356,Anthony Horn,ggibson@example.com,6871.72
3435,John Hernandez,hernandezandrew@example.com,4501.24
5502,James Jones,sanchezlauren@example.net,1740.58
8073,Katrina Hendrix,ewingeric@example.com,2652.54
8641,Robert Smith,vwilson@example.net,8311.73
9106,Steven Wiley,vdominguez@example.com,1761.3
4166,Robert Brewer,ekelley@example.org,7075.87
2365,Julie Hamilton,kevin01@example.org,5752.33
8633,Ian Grimes,christine86@example.com,5651.11
1169,Maureen Obrien,aoconnor@example.net,261.68
4384,Elizabeth Schmidt,youngrandy@example.com,1314.74
5329,Ronald Williams,clloyd@example.net,3167.07
2721,Dale Rose,mercertiffany@example.org,6340.26
4999,Mark Webb,kennethsmith@example.com,3876.21
8168,Jason Pierce,ashley54@example.org,2639.27
5060,Mallory Ross,twiggins@example.org,3900.02
5678,Jerry Rodriguez,michael41@example.net,4684.85
9549,Justin Hill,amber91@example.com,5986.37
7801,Theresa Miller,rprice@example.org,5641.5
9558,Phillip Ramos,ilarson@example.org,3743.38
7021,Lauren Paul,kristen28@example.net,4312.08
7258,Aaron Hall,nlandry@example.net,8081.77
9606,Alejandra Marshall,nashpeter@example.net,5931.25
1050,Taylor Garcia,jasonbaker@example.org,9707.8
1102,Javier Blanchard,baileywilliams@example.net,6064.49
5455,John Chen,ewilliams@example.net,2904.58
9954,John Hughes,kphillips@example.net,5179.84
8966,Lori Cardenas,kennedymichael@example.com,4781.73
1509,Mr. Gregory Perez,elijahjohnson@example.com,8543.97
6978,Daniel Jones,ydixon@example.com,7401.25
7962,Adrian Burns,susanhall@example.com,8817.82
5348,Jonathan Alexander,matthew14@example.com,7206.51
3435,Wayne Lin,wrighttodd@example.net,2607.43
9171,Miss Deborah Cantrell,garciachelsea@example.com,2800.87
1077,Edward Boyd,austin80@example.org,1721.7
3043,Ray Oliver,rhall@example.com,8802.52
9668,Brittany Thompson,danielsanchez@example.org,9010.82
5378,Kimberly Blair,maryhaas@example.org,3303.29
8342,Brandon Mack,uholloway@example.net,329.91
7561,Lori Smith,jenniferblake@example.org,4795.25
7135,David Stein,kmiller@example.org,7904.96
4485,Seth Newton,tony88@example.org,7059.27
7413,Kristen Reynolds,lori61@example.org,6788.48
6122,Benjamin Martin,matthew05@example.net,308.05
3599,Holly Mills,faguilar@example.net,1108.96
9782,Deanna Keller,jenna71@example.org,7319.24
